"Author","Title","Category"
"Bishnoi","Fruits and Vegetables: Degradation and Preservatio","Agriculture, Aquaculture & Food Science"
"Havkin-Frenkel","Handbook of Vanilla Science and Technology, Second","Agriculture, Aquaculture & Food Science"
"Manning","Food and Drink - Good Manufacturing Practice: A Gu","Agriculture, Aquaculture & Food Science"
"Bordenave","Functional Foods and Beverages: In vitro Assessmen","Agriculture, Aquaculture & Food Science"
"El-Bakry","Microstructure of Dairy Products","Agriculture, Aquaculture & Food Science"
"Wallace","Food Safety for the 21st Century: Managing HACCP a","Agriculture, Aquaculture & Food Science"
"Wang","Sex Control in Aquaculture","Agriculture, Aquaculture & Food Science"
"Yadav","Food Security and Climate Change","Agriculture, Aquaculture & Food Science"
"Ullah","Nutraceuticals and Natural Product Derivatives: Di","Agriculture, Aquaculture & Food Science"
"Rose","Atlantic Cod: the Bio-Ecology of the Fish","Agriculture, Aquaculture & Food Science"
"Telfer","Environmental Modelling for Aquaculture","Agriculture, Aquaculture & Food Science"
"Shmulsky","Forest Products and Wood Science: An Introduction7","Agriculture, Aquaculture & Food Science"
"Razavi","Emerging Natural Hydrocolloids: Rheology and Funct","Agriculture, Aquaculture & Food Science"
"Zeb","Food Frying: Chemistry, Biochemistry and Safety","Agriculture, Aquaculture & Food Science"
"Guo","Whey Protein Production, Chemistry, Functionalitya","Agriculture, Aquaculture & Food Science"
"Kircher","Defending the Global Food Supply: Protecting again","Agriculture, Aquaculture & Food Science"
"Barbosa-Canovas","Water Activity in Foods: Fundamentals and Applicat","Agriculture, Aquaculture & Food Science"
"Kraehmer","Grasses: Crops, Competitors and Ornamentals C","Agriculture, Aquaculture & Food Science"
"Ghosh","The Future of Dietary Supplements and Personalized","Agriculture, Aquaculture & Food Science"
"Rodriguez-Gonza","Sustainable Food Manufacturing through Continuous ","Agriculture, Aquaculture & Food Science"
"Srivastava","Pesticides in Crop Production: Physiological and B","Agriculture, Aquaculture & Food Science"
"Doona","High Pressure Processing of Foods 2e","Agriculture, Aquaculture & Food Science"
"Cauvain","Baking Technology and Nutritional Research: Toward","Agriculture, Aquaculture & Food Science"
"Chauhan","Cotton Production","Agriculture, Aquaculture & Food Science"
"Benkeblia","Vitamins and Minerals Bio-fortification of Edible ","Agriculture, Aquaculture & Food Science"
"Gupta","Bioprocessing for Food Ingredient Production","Agriculture, Aquaculture & Food Science"
"Wani","Heat Stress Tolerance in Plants: Physiological, Mo","Agriculture, Aquaculture & Food Science"
"Yousef","Analytical Food Microbiology: A Laboratory Manual,","Agriculture, Aquaculture & Food Science"
"Gangidi","Spectroscopy in Food Analysis","Agriculture, Aquaculture & Food Science"
"Smart","Gin: Botanicals, Production and Styles","Agriculture, Aquaculture & Food Science"
"Pojic","Innovative Processing Technologies for Healthy Gra","Agriculture, Aquaculture & Food Science"
"Devahastin","Drying of Fruits and Vegetables - Fundamentals and","Agriculture, Aquaculture & Food Science"
"Tucker","Essentials of Thermal Processing","Agriculture, Aquaculture & Food Science"
"Arkhipkin","Fish and Cephalopods: One billion years of co-evol","Agriculture, Aquaculture & Food Science"
"Findlay","Multivariate and Probabilistic Analyses 2e","Agriculture, Aquaculture & Food Science"
"Lekang","Aquaculture Engineering, Third Edition","Agriculture, Aquaculture & Food Science"
"Campos-Vega","Food Wastes and By-products: Nutraceutical & Healt","Agriculture, Aquaculture & Food Science"
"Wintgens","Coffe - Growing, Processing, Sustainable Productio","Agriculture, Aquaculture & Food Science"
"Lempert","Disrupting the Food Business: Silicon Valley Cultu","Agriculture, Aquaculture & Food Science"
"Horne","Fisheries Acoustics, 3rd Edition","Agriculture, Aquaculture & Food Science"
"Fotedar","Recent Advances and New Species in Aquaculture, Vo","Agriculture, Aquaculture & Food Science"
"Boulton","The Science of Beer Styles: Origins, development a","Agriculture, Aquaculture & Food Science"
"Lee","Advanced Fermentation and Cell Technology","Agriculture, Aquaculture & Food Science"
"Charles","Sustainable Fishery Systems, 2nd Edition","Agriculture, Aquaculture & Food Science"
"Calado","Crustacean Farming 3e","Agriculture, Aquaculture & Food Science"
"Boulton","Brewing Yeast and Fermentation, Second Edition","Agriculture, Aquaculture & Food Science"
"Lass","Cocoa 5th Edition","Agriculture, Aquaculture & Food Science"
"Levy","Food Production: Approcahes for a Sustainable Agri","Agriculture, Aquaculture & Food Science"
"Bashir","Food Security in the Developing World","Agriculture, Aquaculture & Food Science"
"Carpenter","Oral Mechanisms of Mouthfeel","Agriculture, Aquaculture & Food Science"
"Zurawicki","Neuromarketing of Food Products","Agriculture, Aquaculture & Food Science"
"Ortega-Rivas","The Food Process Engineer's Handbook","Agriculture, Aquaculture & Food Science"
"Kumar","OMICS-Based Approached for Plant Biotechnology","Agriculture, Aquaculture & Food Science"
"Takrama","The Science of Cocoa Fermentation - A Practical Gu","Agriculture, Aquaculture & Food Science"
"Wright","Beverage Flavors: Science, Technology and Innovati","Agriculture, Aquaculture & Food Science"
"Sun Lee","Modified Atmosphere Packaging of Foods: Principles","Agriculture, Aquaculture & Food Science"
"Ashraf","Contaminants in Food: Sources, Impacts and Safety ","Agriculture, Aquaculture & Food Science"
"Gosling","Marine Mussels: Ecology, Physiology, Genetics and ","Agriculture, Aquaculture & Food Science"
"Martins","Food Composition, Diet and Alzheimer's Disease: Th","Agriculture, Aquaculture & Food Science"
"Curcio","Food Production: Animal Nutrition in the XXI Centu","Agriculture, Aquaculture & Food Science"
"Narsimhan","Aerated Foods","Agriculture, Aquaculture & Food Science"
"Sen","Biotechnological Applications in Meat Science","Agriculture, Aquaculture & Food Science"
"Barcay","Pest Management in the Food Industry","Agriculture, Aquaculture & Food Science"
"Upadhyaya","Persistence Strategies of Weeds","Agriculture, Aquaculture & Food Science"
"Stone","Enyclopaedia of Sensory Evaluation","Agriculture, Aquaculture & Food Science"
"Smeda","Weed Science: Principles and Practices, 5th Editio","Agriculture, Aquaculture & Food Science"
"Kemp","Discrimination Testing in Sensory Evaluation","Agriculture, Aquaculture & Food Science"
"Moore","Forages: The Science of Grassland Agriculture, 7e,","Agriculture, Aquaculture & Food Science"
"Morris","Food and Package Engineering, Second Edition","Agriculture, Aquaculture & Food Science"
"Spear","The Halal Food Handbook","Agriculture, Aquaculture & Food Science"
"Nishinari","Textural Characteristics of World Foods","Agriculture, Aquaculture & Food Science"
"Oz","Coating Materials for Fruits and Vegetables: Post-","Agriculture, Aquaculture & Food Science"
"Rajauria","Recent Advances in Micro and Macroalgal Processing","Agriculture, Aquaculture & Food Science"
"Vittorio","Food and Cancer: Molecular Basis and Therapeutic C","Agriculture, Aquaculture & Food Science"
"Jacobo-Vel zque","Nutraceuticals: Production, Effects and Analysis","Agriculture, Aquaculture & Food Science"
"Young","Food Characterisation: A Multidisciplinary Approac","Agriculture, Aquaculture & Food Science"
"Gomes","Computer Vision and Metrology in Food and Agricult","Agriculture, Aquaculture & Food Science"
